player_color,opening_base,opening_variation,count
Black,Italian Game,,1
Black,Italian Game,"Classical Variation, Giuoco Pianissimo, with h6",1
Black,Italian Game,"Classical Variation, Greco Gambit",1
Black,Italian Game,Evans Gambit,1
Black,Italian Game,"Evans Gambit, Compromised Defense",1
Black,Italian Game,"Evans Gambit, Slow Variation",1
Black,Italian Game,Rosentreter Gambit,1
Black,Italian Game,"Two Knights Defense, Fried Liver Attack",1
Black,Italian Game,"Two Knights Defense, Knight Attack, Normal Variation",1
Black,Italian Game,"Two Knights Defense, Max Lange Attack, Krause Variation",1
Black,Italian Game,"Two Knights Defense, Perreux Variation",1
Black,King's Gambit Accepted,MacLeod Defense,18
Black,King's Gambit Accepted,Schallopp Defense,3
Black,King's Gambit Accepted,Rosentreter Gambit,2
Black,King's Gambit Accepted,Bishop's Gambit,1
Black,King's Gambit Accepted,Blachly Gambit,1
Black,King's Gambit Accepted,Fischer Defense,1
Black,King's Gambit Accepted,Polerio Gambit,1
Black,King's Gambit Declined,Queen's Knight Defense,5
Black,King's Indian Attack,,1
Black,King's Knight Opening,Normal Variation,6
Black,King's Knight Opening,Konstantinopolsky,2
Black,King's Pawn Game,Leonardis Variation,21
Black,King's Pawn Game,Napoleon Attack,4
Black,King's Pawn Game,King's Head Opening,3
Black,King's Pawn Game,MacLeod Attack,3
Black,King's Pawn Game,Wayward Queen Attack,3
Black,King's Pawn Game,Tayler Opening,2
Black,King's Pawn Game,Alapin Opening,1
Black,King's Pawn Game,Mengarini's Opening,1
Black,King's Pawn Game,"Wayward Queen Attack, Kiddie Countergambit",1
Black,Kádas Opening,,1
Black,Mieses Opening,Reversed Rat,7
Black,Mieses Opening,,5
Black,Modern Defense,Randspringer Variation,2
Black,Nimzo-Larsen Attack,Modern Variation,11
Black,Nimzo-Larsen Attack,Classical Variation,9
Black,Nimzo-Larsen Attack,Dutch Variation,3
Black,Nimzo-Larsen Attack,,1
Black,Nimzowitsch Defense,Kennedy Variation,1
Black,Nimzowitsch Defense,"Kennedy Variation, Paulsen Attack",1
Black,Nimzowitsch Defense,"Scandinavian Variation, Bogoljubow Variation",1
Black,Polish Opening,Dutch Defense,2
Black,Polish Opening,,1
Black,Ponziani Opening,,13
Black,Ponziani Opening,Jaenisch Counterattack,2
Black,Queen's Gambit Accepted,,2
Black,Queen's Gambit Accepted,"Central Variation, Alekhine System",1
Black,Queen's Gambit Accepted,"Central Variation, McDonnell Defense",1
Black,Queen's Gambit Accepted,Janowski-Larsen Variation,1
Black,Queen's Gambit Accepted,Old Variation,1
Black,Queen's Gambit Declined,Albin Countergambit,15
Black,Queen's Gambit Declined,Marshall Defense,6
Black,Queen's Gambit Declined,"Albin Countergambit, Normal Line",3
Black,Queen's Gambit Declined,"Albin Countergambit, Lasker Trap",2
Black,Queen's Gambit Declined,"Albin Countergambit, Fianchetto Variation, Bg4 Line",1
Black,Queen's Gambit Declined,"Baltic Defense, Pseudo-Slav",1
Black,Queen's Gambit Declined,Ragozin Defense,1
Black,Queen's Pawn Game,Accelerated London System,17
Black,Queen's Pawn Game,,11
Black,Queen's Pawn Game,Zukertort Variation,6
Black,Queen's Pawn Game,Chigorin Variation,5
Black,Queen's Pawn Game,Symmetrical Variation,2
Black,Queen's Pawn Game,Anti-Torre,1
Black,Queen's Pawn Game,"Chigorin Variation, Alburt Defense",1
Black,Queen's Pawn Game,Colle System,1
Black,Queen's Pawn Game,Levitsky Attack,1
Black,Queen's Pawn Game,London System,1
Black,Queen's Pawn Game,"Symmetrical Variation, Pseudo-Catalan",1
Black,Queen's Pawn Game,"Veresov Attack, Dutch System",1
Black,Rapport-Jobava System,,2
Black,Richter-Veresov Attack,,1
Black,Ruy Lopez,Exchange Variation,10
Black,Ruy Lopez,Morphy Defense,9
Black,Ruy Lopez,"Exchange Variation, King's Bishop Variation",7
Black,Ruy Lopez,"Morphy Defense, Caro Variation",6
Black,Ruy Lopez,"Exchange Variation, Keres Variation",5
Black,Ruy Lopez,"Morphy Defense, Anderssen Variation",3
Black,Ruy Lopez,"Morphy Defense, Arkhangelsk Variation",3
Black,Ruy Lopez,"Classical Variation, Central Variation",2
Black,Ruy Lopez,"Morphy Defense, Classical Defense Deferred",2
Black,Ruy Lopez,"Morphy Defense, Graz Variation",2
Black,Ruy Lopez,Steinitz Defense,2
Black,Ruy Lopez,Berlin Defense,1
Black,Ruy Lopez,Classical Variation,1
Black,Ruy Lopez,Closed,1
Black,Réti Opening,Advance Variation,1
Black,Réti Opening,Réti Accepted,1
Black,Saragossa Opening,,3
Black,Scandinavian Defense,Mieses-Kotroc Variation,1
Black,Scotch Game,Classical Variation,27
Black,Scotch Game,Lolli Variation,11
Black,Scotch Game,Haxo Gambit,10
Black,Scotch Game,,5
Black,Scotch Game,Göring Gambit,2
Black,Scotch Game,"Göring Gambit, Bardeleben Variation",2
Black,Scotch Game,"Göring Gambit, Double Pawn Sacrifice",2
Black,Scotch Game,Potter Variation,2
Black,Scotch Game,Schmidt Variation,2
Black,Scotch Game,"Göring Gambit, Main Line",1
Black,Scotch Game,Mieses Variation,1
Black,Scotch Game,Relfsson Gambit,1
Black,Scotch Game,"Scotch Gambit, Sarratt Variation",1
Black,Semi-Slav Defense,,2
Black,Sicilian Defense,,2
Black,Sicilian Defense,Bowdler Attack,1
Black,Sicilian Defense,Closed,1
Black,Sicilian Defense,"Delayed Alapin Variation, with d6",1
Black,Sicilian Defense,Mengarini Variation,1
Black,Sicilian Defense,Old Sicilian,1
Black,Sicilian Defense,Smith-Morra Gambit,1
Black,Slav Defense,,2
Black,Slav Defense,Three Knights Variation,2
Black,Three Knights Opening,,20
Black,Van Geet Opening,Reversed Nimzowitsch,2
Black,Van't Kruijs Opening,,17
Black,"Vienna Gambit, with Max Lange Defense",Knight Variation,3
Black,"Vienna Gambit, with Max Lange Defense",,1
Black,Vienna Game,Max Lange Defense,26
Black,Vienna Game,"Stanley Variation, Meitner-Mieses Gambit",2
Black,Vienna Game,Anderssen Defense,1
Black,Vienna Game,"Stanley Variation, Reversed Spanish",1
Black,Vienna Game,Vienna Gambit,1
Black,Zukertort Opening,,2
Black,Zukertort Opening,Black Mustang Defense,2
Black,Zukertort Opening,Dutch Variation,2
Black,Zukertort Opening,Old Indian Attack,2
White,Alekhine Defense,,5
White,Alekhine Defense,Krejcik Variation,1
White,Alekhine Defense,"Modern Variation, Schmid Variation",1
White,Alekhine Defense,Normal Variation,1
White,Alekhine Defense,Scandinavian Variation,1
White,Alekhine Defense,"Scandinavian Variation, Geschev Gambit",1
White,Benoni Defense,Benoni Gambit Accepted,1
White,Bird Opening,,1
White,Bishop's Opening,Vienna Hybrid,2
White,Blackmar-Diemer Gambit Declined,O'Kelly Defense,1
White,Caro-Kann Defense,,26
White,Caro-Kann Defense,Classical Variation,14
White,Caro-Kann Defense,Tartakower Variation,14
White,Caro-Kann Defense,Main Line,5
White,Caro-Kann Defense,Maróczy Variation,5
White,Caro-Kann Defense,Campomanes Attack,4
White,Caro-Kann Defense,Exchange Variation,3
White,Caro-Kann Defense,Bronstein-Larsen Variation,2
White,Caro-Kann Defense,Karpov Variation,1
White,Carr Defense,,1
White,Catalan Opening,Closed,1
White,Czech Defense,,2
White,English Defense,,1
White,English Opening,"King's English Variation, Two Knights Variation, Smyslov System",1
White,Four Knights Game,Italian Variation,18
White,Four Knights Game,Spanish Variation,3
White,Four Knights Game,"Spanish Variation, Classical Variation",3
White,Four Knights Game,"Spanish Variation, Double Spanish",1
White,French Defense,Queen's Knight,47
White,French Defense,Exchange Variation,13
White,French Defense,Normal Variation,7
White,French Defense,Knight Variation,4
White,French Defense,Franco-Sicilian Defense,3
White,French Defense,,2
White,French Defense,Advance Variation,1
White,French Defense,"Advance Variation, Paulsen Attack",1
White,French Defense,"Classical Variation, Delayed Exchange Variation",1
White,French Defense,Mediterranean Defense,1
White,French Defense,Perseus Gambit,1
White,French Defense,Réti-Spielmann Attack,1
White,French Defense,Steinitz Variation,1
White,French Defense,"Steinitz Variation, Boleslavsky Variation",1
White,Indian Defense,Anti-Nimzo-Indian,2
White,Italian Game,"Giuoco Pianissimo, Italian Four Knights Variation",17
White,Italian Game,"Giuoco Pianissimo, Canal Variation",6
White,Italian Game,Giuoco Pianissimo,4
White,Italian Game,Paris Defense,3
White,Italian Game,,2
White,Italian Game,Anti-Fried Liver Defense,2
White,Italian Game,Giuoco Piano,2
White,Italian Game,"Two Knights Defense, Fritz Variation",1
White,King's Gambit Accepted,"Bishop's Gambit, Bogoljubow Defense",1
White,King's Knight Opening,,1
White,King's Pawn Game,Busch-Gass Gambit,6
White,King's Pawn Game,Gunderam Gambit,1
White,Modern Defense,,24
White,Modern Defense,Standard Line,13
White,Modern Defense,Three Pawns Attack,3
White,Modern Defense,Pseudo-Austrian Attack,2
White,Modern Defense,Two Knights Variation,2
White,Modern Defense,"Mongredien Defense, with Nc3",1
White,Modern Defense,Standard Defense,1
White,Nimzowitsch Defense,,2
White,Owen Defense,,22
White,Owen Defense,Smith Gambit,1
White,Philidor Defense,,11
White,Pirc Defense,,22
White,Pirc Defense,Classical Variation,6
White,Pirc Defense,Austrian Attack,2
White,Pirc Defense,"Austrian Attack, Unzicker Attack",2
White,Pirc Defense,"Austrian Attack, Weiss Variation",2
White,Pirc Defense,"Austrian Attack, Dragon Formation",1
White,Pirc Defense,"Austrian Attack, Kurajica Variation",1
White,Pirc Defense,"Austrian Attack, Ljubojevic Variation",1
White,Ponziani Opening,Neumann Gambit,1
White,Queen's Gambit Declined,"Austrian Attack, Salvio Countergambit",1
White,Queen's Pawn Game,Chigorin Variation,1
White,Queen's Pawn Game,Modern Defense,1
White,Rat Defense,Small Center Defense,3
White,Rat Defense,Antal Defense,1
White,Russian Game,Three Knights Game,6
White,Ruy Lopez,Steinitz Defense,6
White,Ruy Lopez,Berlin Defense,1
White,Ruy Lopez,Classical Variation,1
White,Ruy Lopez,"Exchange Variation, Keres Variation",1
White,Scandinavian Defense,Valencian Variation,42
White,Scandinavian Defense,Main Line,16
White,Scandinavian Defense,Mieses-Kotroc Variation,13
White,Scandinavian Defense,,12
White,Scandinavian Defense,Gubinsky-Melts Defense,8
White,Scandinavian Defense,Modern Variation,8
White,Scandinavian Defense,Blackburne Gambit,4
White,Scandinavian Defense,Boehnke Gambit,4
White,Scandinavian Defense,"Valencian Variation, Main Line",2
White,Scandinavian Defense,Bronstein Variation,1
White,Scandinavian Defense,Icelandic-Palme Gambit,1
White,Scandinavian Defense,"Main Line, Mieses Variation",1
White,Scandinavian Defense,Marshall Variation,1
White,Scandinavian Defense,"Portuguese Gambit, Classical Variation",1
White,Sicilian Defense,Alapin Variation,74
White,Sicilian Defense,Closed,21
White,Sicilian Defense,Old Sicilian,12
White,Sicilian Defense,"Alapin Variation, Barmen Defense",9
White,Sicilian Defense,"Closed, Traditional",3
White,Sicilian Defense,"Delayed Alapin Variation, with d6",3
White,Sicilian Defense,"Accelerated Dragon, Exchange Variation",2
White,Sicilian Defense,Bowdler Attack,2
White,Sicilian Defense,"Delayed Alapin Variation, with e6",2
White,Sicilian Defense,French Variation,2
White,Sicilian Defense,Hyperaccelerated Dragon,2
White,Sicilian Defense,Löwenthal Variation,2
White,Sicilian Defense,Modern Variations,2
White,Sicilian Defense,Taimanov Variation,2
White,Sicilian Defense,,1
White,Sicilian Defense,"Accelerated Dragon, Modern Variation",1
White,Sicilian Defense,"Alapin Variation, Barmen Defense, Central Exchange",1
White,Sicilian Defense,"Alapin Variation, Smith-Morra Declined",1
White,Sicilian Defense,Drazic Variation,1
White,Sicilian Defense,Franco-Sicilian Variation,1
White,Sicilian Defense,Grand Prix Attack,1
White,Sicilian Defense,"Lasker-Pelikan Variation, Retreat Variation",1
White,Sicilian Defense,"Modern Variations, Main Line",1
White,Sicilian Defense,Najdorf Variation,1
White,Sicilian Defense,"O'Kelly Variation, Normal System, Zagorovsky Line",1
White,Sicilian Defense,Open,1
White,Sicilian Defense,Pin Variation,1
White,Sicilian Defense,"Smith-Morra Gambit Declined, Center Formation",1
White,Slav Defense,,1
White,St. George Defense,,1
White,Tarrasch Defense,,1
White,Three Knights Opening,,6
White,Van't Kruijs Opening,,1
White,"Vienna Gambit, with Max Lange Defense",,1
White,"Vienna Gambit, with Max Lange Defense","Steinitz Gambit, Paulsen Defense",1
White,Vienna Game,,54
White,Vienna Game,Max Lange Defense,52
White,Vienna Game,Vienna Gambit,35
White,Vienna Game,"Stanley Variation, Three Knights Variation",24
White,Vienna Game,Anderssen Defense,15
White,Vienna Game,"Stanley Variation, Meitner-Mieses Gambit",12
White,Vienna Game,"Vienna Gambit, Main Line",8
White,Vienna Game,Omaha Gambit,5
White,Vienna Game,Stanley Variation,5
White,Vienna Game,"Stanley Variation, Reversed Spanish",3
White,Vienna Game,"Vienna Gambit, Paulsen Attack",2
White,Ware Defense,,1
White,Zukertort Opening,Tennison Gambit,2
White,Zukertort Opening,Lemberger Gambit,1
